function_entry	function	ref_from	string_addr	string
140007980	FUN_140007980	140007ba0	1400440f8	LOLA_REC
140007980	FUN_140007980	140007bae	1400434c0	80000000000005e3
140007980	FUN_140007980	140007bb4	1400440f8	LOLA_REC
140007980	FUN_140007980	140007bc2	1400434c0	80000000000005e3
140007980	FUN_140007980	140007c26	140043538	8000000000000136
140007980	FUN_140007980	140007c2d	140044104	0x41
140007980	FUN_140007980	140007c3c	1400434b0	8000000000000b53
140007980	FUN_140007980	140007c4e	140043530	8000000000000408
140007980	FUN_140007980	140007c6e	140043530	8000000000000408
140007980	FUN_140007980	140007cb4	140043538	8000000000000136
140007980	FUN_140007980	140007ccc	1400434c8	80000000000005e0
140007980	FUN_140007980	140007cdb	140043530	8000000000000408
140007980	FUN_140007980	140007cfd	1400434c8	80000000000005e0
140007980	FUN_140007980	140007d31	1400434c8	80000000000005e0
140007980	FUN_140007980	140007d8e	1400439ac	0x0
14000e1a0	FUN_14000e1a0	14000e1d8	140043530	8000000000000408
14000e1a0	FUN_14000e1a0	14000e1e3	140043588	800000000000013c
14000e1a0	FUN_14000e1a0	14000e200	140043530	8000000000000408
14000e1a0	FUN_14000e1a0	14000e20c	140043588	800000000000013c
14000e1a0	FUN_14000e1a0	14000e2df	140043588	800000000000013c
14000e1a0	FUN_14000e1a0	14000e2ed	140043588	800000000000013c
14000e1a0	FUN_14000e1a0	14000e322	140042378	000617cc
14000e1a0	FUN_14000e1a0	14000e5bb	140044838	VideoWriteEvent
14000e1a0	FUN_14000e1a0	14000e5c9	140042288	000619ea
14000e1a0	FUN_14000e1a0	14000e5d6	140044848	RecFrameReadyEvent
14000e1a0	FUN_14000e1a0	14000e5e4	140042288	000619ea
14000e1a0	FUN_14000e1a0	14000e5f1	140044860	CameraPreviewEndedEvent
14000e1a0	FUN_14000e1a0	14000e5ff	140042288	000619ea
14000e1a0	FUN_14000e1a0	14000e628	140044878	FrameDoneThreadEnded
14000e1a0	FUN_14000e1a0	14000e639	140042288	000619ea
14000e1a0	FUN_14000e1a0	14000e646	140044890	NetSendThreadEnded
14000e1a0	FUN_14000e1a0	14000e657	140042288	000619ea
14000e1a0	FUN_14000e1a0	14000e664	1400448a8	LocRecVideoThreadEnded
14000e1a0	FUN_14000e1a0	14000e675	140042288	000619ea
14000e1a0	FUN_14000e1a0	14000e69e	1400439ac	0x0
1400115c0	FUN_1400115c0	1400115eb	1400630d8	0x2b992ddfa232
1400115c0	FUN_1400115c0	1400116cf	140042290	000619dc
1400115c0	FUN_1400115c0	1400116e0	140044ca0	Video Recording: 
1400115c0	FUN_1400115c0	1400116eb	140043538	8000000000000136
1400115c0	FUN_1400115c0	14001171c	1400422f0	00061918
1400115c0	FUN_1400115c0	140011737	140042290	000619dc
1400115c0	FUN_1400115c0	140011767	140042298	000619d0
1400115c0	FUN_1400115c0	1400118c9	140042790	800000000000000b
1400115c0	FUN_1400115c0	1400119e1	140042790	800000000000000b
1400115c0	FUN_1400115c0	140011b80	140042370	000617e8
1400115c0	FUN_1400115c0	140011bb5	140042368	00061800
1400115c0	FUN_1400115c0	140011bc2	140042298	000619d0
1400115c0	FUN_1400115c0	140011bcd	140043530	8000000000000408
140011c10	FUN_140011c10	140011c3e	1400630d8	0x2b992ddfa232
140011c10	FUN_140011c10	140011d31	140042290	000619dc
140011c10	FUN_140011c10	140011d71	140044cd8	Jpeg encoding: 
140011c10	FUN_140011c10	140011d7c	140043538	8000000000000136
140011c10	FUN_140011c10	140011d85	140042840	0006297e
140011c10	FUN_140011c10	140011e2c	1400422f0	00061918
140011c10	FUN_140011c10	140011e47	140042290	000619dc
140011c10	FUN_140011c10	140011f20	1400434b8	800000000000163b
140011c10	FUN_140011c10	140011f2d	140043580	8000000000000131
140011c10	FUN_140011c10	140011f54	140043590	8000000000000b65
140011c10	FUN_140011c10	140011f6b	1400434c8	80000000000005e0
140011c10	FUN_140011c10	140011f7c	140043530	8000000000000408
140011c10	FUN_140011c10	140011f87	140043530	8000000000000408
140011c10	FUN_140011c10	140012006	140042298	000619d0
140011c10	FUN_140011c10	140012129	140042790	800000000000000b
140011c10	FUN_140011c10	140012241	140042790	800000000000000b
140011c10	FUN_140011c10	140012393	140042838	00062968
140011c10	FUN_140011c10	1400123ff	140042370	000617e8
140011c10	FUN_140011c10	140012435	140042368	00061800
140011c10	FUN_140011c10	140012442	140042298	000619d0
140011c10	FUN_140011c10	14001244d	140043530	8000000000000408
140009bf0	FUN_140009bf0	140009d4e	140042290	000619dc
140009bf0	FUN_140009bf0	140009d58	140042290	000619dc
140009bf0	FUN_140009bf0	140009d94	1400422f0	00061918
140009bf0	FUN_140009bf0	140009dab	140042290	000619dc
140009bf0	FUN_140009bf0	140009e54	140042370	000617e8
140009bf0	FUN_140009bf0	140009e92	140042790	800000000000000b
140009bf0	FUN_140009bf0	140009eeb	140042368	00061800
140009bf0	FUN_140009bf0	140009f92	140042370	000617e8
140009bf0	FUN_140009bf0	140009fc5	140042368	00061800
140009bf0	FUN_140009bf0	140009fdf	140042298	000619d0
140039b36	memset	140039b36	1400426a8	00062836
140039b1e	memcpy	140039b1e	140042688	00062802
140008b10	FUN_140008b10	140008b3e	1400630d8	0x2b992ddfa232
140008b10	FUN_140008b10	140008b5c	140044188	0x40c011e597f62b6b
140008b10	FUN_140008b10	140008b68	140044180	0x40191eb860000000
140008b10	FUN_140008b10	140008b74	1400441a0	-0x3fe6e147a0000000
140008b10	FUN_140008b10	140008b93	140044178	0x3c800000
140008b10	FUN_140008b10	140008b9f	140044190	-0x3d
140020ba0	FUN_140020ba0	140020c17	140042768	8000000000000009
140020ba0	FUN_140020ba0	140020c2a	140042768	8000000000000009
140020ba0	FUN_140020ba0	140020c80	140042768	8000000000000009
140020ba0	FUN_140020ba0	140020c96	140042768	8000000000000009
140020ba0	FUN_140020ba0	140020ca8	140042768	8000000000000009
140020ba0	FUN_140020ba0	140020cd6	140042768	8000000000000009
140020ba0	FUN_140020ba0	140020ce7	140042768	8000000000000009
140020ba0	FUN_140020ba0	140020d3a	140042768	8000000000000009
140036141	pcap_sendpacket	140036141	140043740	000609b8
14003613b	pcap_close	14003613b	140043738	000609aa
14000ad00	FUN_14000ad00	14000aea1	140042298	000619d0
140036153	pcap_sendqueue_alloc	140036153	140043750	000609ea
14003615f	pcap_sendqueue_queue	14003615f	140043720	00060a1c
140036165	pcap_sendqueue_transmit	140036165	140043718	00060a34
140036159	pcap_sendqueue_destroy	140036159	140043728	00060a02
1400364d0	__security_check_cookie	1400364d0	1400630d8	0x2b992ddfa232
140036051	jpeg_std_error	140036051	140042ab0	8000000000000059
140036081	jpeg_CreateCompress	140036081	140042ad8	800000000000001e
140020e20	FUN_140020e20	140020e24	140042348	00061846
140036093	jpeg_set_defaults	140036093	140042af0	8000000000000051
140036099	jpeg_set_quality	140036099	140042af8	8000000000000054
14003608d	jpeg_mem_dest	14003608d	140042ae8	8000000000000066
14003609f	jpeg_start_compress	14003609f	140042b00	8000000000000056
1400360a5	jpeg_write_scanlines	1400360a5	140042b08	8000000000000062
1400360ab	jpeg_finish_compress	1400360ab	140042b10	8000000000000031
140020e30	FUN_140020e30	140020e64	140042348	00061846
140020e30	FUN_140020e30	140020e6f	140042340	00061860
140020e30	FUN_140020e30	140020e93	1400439f0	0x408f400000000000
140020e30	FUN_140020e30	140020e9e	140043588	800000000000013c
140020e30	FUN_140020e30	140020eb4	1400479c0	%.3f ms
140020e30	FUN_140020e30	140020ebe	140043470	8000000000001228
140036087	jpeg_destroy_compress	140036087	140042ae0	800000000000002b
14003616b	pcap_next_ex	14003616b	140043710	00060a4e
140036057	jpeg_CreateDecompress	140036057	140042b18	800000000000001f
140036063	jpeg_mem_src	140036063	140042aa0	8000000000000067
140036069	jpeg_read_header	140036069	140042ab8	800000000000004b
14003606f	jpeg_start_decompress	14003606f	140042ac0	8000000000000057
140036075	jpeg_read_scanlines	140036075	140042ac8	800000000000004d
14003607b	jpeg_finish_decompress	14003607b	140042ad0	8000000000000032
14003605d	jpeg_destroy_decompress	14003605d	140042aa8	800000000000002c
140016f20	FUN_140016f20	140016f4c	1400630d8	0x2b992ddfa232
140016f20	FUN_140016f20	140016f82	1400434c8	80000000000005e0
140016f20	FUN_140016f20	140016f93	1400434c8	80000000000005e0
140016f20	FUN_140016f20	1400171c6	140044f78	ip and udp
140016f20	FUN_140016f20	1400171d2	140043538	8000000000000136
140016f20	FUN_140016f20	140017208	140044f90	ip and src host %s and dst host %s and (udp port %d or udp port %d)
140016f20	FUN_140016f20	140017214	140043470	8000000000001228
140016f20	FUN_140016f20	1400173cf	140042a38	00062a52
140016f20	FUN_140016f20	1400173e6	140042a58	00062a5c
140016f20	FUN_140016f20	1400173fb	140044fd8	%H:%M:%S
140016f20	FUN_140016f20	14001740e	140042a40	00062a46
140016f20	FUN_140016f20	140017434	140043538	8000000000000136
140016f20	FUN_140016f20	140017447	140044fe4	0x25
140016f20	FUN_140016f20	14001744e	140043470	8000000000001228
140016f20	FUN_140016f20	14001745a	140043530	8000000000000408
140016f20	FUN_140016f20	14001748c	140043530	8000000000000408
140016f20	FUN_140016f20	140017496	140043530	8000000000000408
14002b9b0	FUN_14002b9b0	14002b9de	1400439ac	0x0
14002b9b0	FUN_14002b9b0	14002b9e9	140043538	8000000000000136
14002b9b0	FUN_14002b9b0	14002ba20	140042628	00061e4e
14002b9b0	FUN_14002b9b0	14002ba29	1400439ac	0x0
14002b9b0	FUN_14002b9b0	14002ba34	140043538	8000000000000136
14002b9b0	FUN_14002b9b0	14002ba63	14004c120	Disconnect
14002b9b0	FUN_14002b9b0	14002ba6e	1400434b0	8000000000000b53
14002b9b0	FUN_14002b9b0	14002ba91	140043570	800000000000012c
14002b9b0	FUN_14002b9b0	14002bab5	1400434b0	8000000000000b53
14002b9b0	FUN_14002b9b0	14002bad2	1400434b0	8000000000000b53
14002b9b0	FUN_14002b9b0	14002bae0	14004bfe8	127.0.0.1
14002b9b0	FUN_14002b9b0	14002baeb	1400434b0	8000000000000b53
14002b9b0	FUN_14002b9b0	14002baf9	14004bfd8	localhost
14002b9b0	FUN_14002b9b0	14002bb04	1400434b0	8000000000000b53
14002b9b0	FUN_14002b9b0	14002bb12	14004ba90	0.0.0.0
14002b9b0	FUN_14002b9b0	14002bb1d	1400434b0	8000000000000b53
14002b9b0	FUN_14002b9b0	14002bb27	14004c1a8	Local IP address '0.0.0.0' is not valid.
14002b9b0	FUN_14002b9b0	14002bb33	1400439ac	0x0
14002b9b0	FUN_14002b9b0	14002bb3e	140043538	8000000000000136
14002b9b0	FUN_14002b9b0	14002bb49	14004c130	Connection already established on Session %d.
14002b9b0	FUN_14002b9b0	14002bb54	140043470	8000000000001228
14002b9b0	FUN_14002b9b0	14002bb6f	140043530	8000000000000408
14002b9b0	FUN_14002b9b0	14002bb9e	1400439ac	0x0
14002b9b0	FUN_14002b9b0	14002bba5	1400434c0	80000000000005e3
14002b9b0	FUN_14002b9b0	14002bbab	14004c1d8	Connecting ...
14002b9b0	FUN_14002b9b0	14002bbce	1400439ac	0x0
14002b9b0	FUN_14002b9b0	14002bbd9	140043538	8000000000000136
14002b9b0	FUN_14002b9b0	14002bbea	140043570	800000000000012c
14002b9b0	FUN_14002b9b0	14002bbfb	140043570	800000000000012c
14002b9b0	FUN_14002b9b0	14002bc48	140042358	00061830
14002b9b0	FUN_14002b9b0	14002bd2c	1400434c8	80000000000005e0
14002b9b0	FUN_14002b9b0	14002bdcb	140043570	800000000000012c
14002b9b0	FUN_14002b9b0	14002be4a	140043570	800000000000012c
14002b9b0	FUN_14002b9b0	14002be9f	140043570	800000000000012c
14002b9b0	FUN_14002b9b0	14002bed8	140043570	800000000000012c
14002b9b0	FUN_14002b9b0	14002bf1a	14004c120	Disconnect
14002b9b0	FUN_14002b9b0	14002bf77	1400434b8	800000000000163b
14002b9b0	FUN_14002b9b0	14002bf84	140043580	8000000000000131
14002b9b0	FUN_14002b9b0	14002bf9c	14004c2b0	Connected to 
14002b9b0	FUN_14002b9b0	14002bfb3	14004c2b0	Connected to 
14002b9b0	FUN_14002b9b0	14002bfb3	14004c2b1	Connected to 
14002b9b0	FUN_14002b9b0	14002bfc4	140043590	8000000000000b65
14002b9b0	FUN_14002b9b0	14002bff5	1400439ac	0x0
14002b9b0	FUN_14002b9b0	14002c005	140043538	8000000000000136
14002b9b0	FUN_14002b9b0	14002c014	14004c1f0	Session %d connection info:\nNo reply from remote host (%s) within 3 sec! Try again.
14002b9b0	FUN_14002b9b0	14002c01f	140043470	8000000000001228
14002b9b0	FUN_14002b9b0	14002c038	140043538	8000000000000136
14002b9b0	FUN_14002b9b0	14002c05a	14004c250	Session %d connection info.\n\nRemote host (%s) replied with the following message:    \n\n%s
14002b9b0	FUN_14002b9b0	14002c065	140043470	8000000000001228
14002b9b0	FUN_14002b9b0	14002c080	140043530	8000000000000408
14002b9b0	FUN_14002b9b0	14002c086	14004b8e8	Ready
14002b9b0	FUN_14002b9b0	14002c0a3	14004c160	Connection to localhost not allowed. Type a valid remote host address.
14002b9b0	FUN_14002b9b0	14002c0bb	140043530	8000000000000408
14002b9b0	FUN_14002b9b0	14002c0d3	140043530	8000000000000408
14002b9b0	FUN_14002b9b0	14002c0de	140043530	8000000000000408
14002f3d0	FUN_14002f3d0	14002f427	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002f436	14004771c	SRCIP:
14002f3d0	FUN_14002f3d0	14002f441	140043538	8000000000000136
14002f3d0	FUN_14002f3d0	14002f452	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002f478	140047724	DSTIP:
14002f3d0	FUN_14002f3d0	14002f483	140043538	8000000000000136
14002f3d0	FUN_14002f3d0	14002f494	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002f4ba	14004c440	0x53
14002f3d0	FUN_14002f3d0	14002f4c5	140043538	8000000000000136
14002f3d0	FUN_14002f3d0	14002f4d6	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002f4f6	1400427f0	00062970
14002f3d0	FUN_14002f3d0	14002f503	140043530	8000000000000408
14002f3d0	FUN_14002f3d0	14002f540	1400434b0	8000000000000b53
14002f3d0	FUN_14002f3d0	14002f56b	14004c448	Lola is running but it is currently busy.\nPlease retry later.
14002f3d0	FUN_14002f3d0	14002f576	140043538	8000000000000136
14002f3d0	FUN_14002f3d0	14002f587	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002f598	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002f5c5	140043530	8000000000000408
14002f3d0	FUN_14002f3d0	14002f5d0	140043530	8000000000000408
14002f3d0	FUN_14002f3d0	14002f5db	140043530	8000000000000408
14002f3d0	FUN_14002f3d0	14002f617	1400434b0	8000000000000b53
14002f3d0	FUN_14002f3d0	14002f62c	1400434b0	8000000000000b53
14002f3d0	FUN_14002f3d0	14002f649	14004778c	CHNLS:
14002f3d0	FUN_14002f3d0	14002f654	140043538	8000000000000136
14002f3d0	FUN_14002f3d0	14002f665	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002f688	1400427f0	00062970
14002f3d0	FUN_14002f3d0	14002f6a0	140043530	8000000000000408
14002f3d0	FUN_14002f3d0	14002f6ae	140047794	0x46
14002f3d0	FUN_14002f3d0	14002f6b9	140043538	8000000000000136
14002f3d0	FUN_14002f3d0	14002f6ca	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002f6ea	1400427f0	00062970
14002f3d0	FUN_14002f3d0	14002f70c	140043530	8000000000000408
14002f3d0	FUN_14002f3d0	14002f71a	14004779c	0x42
14002f3d0	FUN_14002f3d0	14002f725	140043538	8000000000000136
14002f3d0	FUN_14002f3d0	14002f736	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002f756	1400427f0	00062970
14002f3d0	FUN_14002f3d0	14002f76e	140043530	8000000000000408
14002f3d0	FUN_14002f3d0	14002f77c	1400477a4	0x58
14002f3d0	FUN_14002f3d0	14002f787	140043538	8000000000000136
14002f3d0	FUN_14002f3d0	14002f798	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002f7b8	1400427f0	00062970
14002f3d0	FUN_14002f3d0	14002f7d0	140043530	8000000000000408
14002f3d0	FUN_14002f3d0	14002f7de	1400477a8	0x59
14002f3d0	FUN_14002f3d0	14002f7e9	140043538	8000000000000136
14002f3d0	FUN_14002f3d0	14002f7fa	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002f81a	1400427f0	00062970
14002f3d0	FUN_14002f3d0	14002f832	140043530	8000000000000408
14002f3d0	FUN_14002f3d0	14002f840	1400477ac	0x53
14002f3d0	FUN_14002f3d0	14002f84b	140043538	8000000000000136
14002f3d0	FUN_14002f3d0	14002f85c	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002f87c	1400427f0	00062970
14002f3d0	FUN_14002f3d0	14002f89e	140043530	8000000000000408
14002f3d0	FUN_14002f3d0	14002f8ac	1400477b0	0x42
14002f3d0	FUN_14002f3d0	14002f8b7	140043538	8000000000000136
14002f3d0	FUN_14002f3d0	14002f8c8	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002f8e8	1400427f0	00062970
14002f3d0	FUN_14002f3d0	14002f900	140043530	8000000000000408
14002f3d0	FUN_14002f3d0	14002f90e	1400477b8	COMP:
14002f3d0	FUN_14002f3d0	14002f919	140043538	8000000000000136
14002f3d0	FUN_14002f3d0	14002f92a	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002f94a	1400427f0	00062970
14002f3d0	FUN_14002f3d0	14002f962	140043530	8000000000000408
14002f3d0	FUN_14002f3d0	14002f970	1400477c0	BAYER:
14002f3d0	FUN_14002f3d0	14002f97b	140043538	8000000000000136
14002f3d0	FUN_14002f3d0	14002f98c	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002f9ac	1400427f0	00062970
14002f3d0	FUN_14002f3d0	14002f9c9	140043530	8000000000000408
14002f3d0	FUN_14002f3d0	14002f9cf	1400439ac	0x0
14002f3d0	FUN_14002f3d0	14002f9da	140043538	8000000000000136
14002f3d0	FUN_14002f3d0	14002fa14	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002fa25	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002fa36	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002fa63	1400439ac	0x0
14002f3d0	FUN_14002f3d0	14002fa6a	140043538	8000000000000136
14002f3d0	FUN_14002f3d0	14002fa7b	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002fa8c	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002fad3	1400434c8	80000000000005e0
14002f3d0	FUN_14002f3d0	14002fb1e	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002fb9d	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002fbf3	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002fc38	140043570	800000000000012c
14002f3d0	FUN_14002f3d0	14002fc92	14004c120	Disconnect
14002f3d0	FUN_14002f3d0	14002fce4	1400434b8	800000000000163b
14002f3d0	FUN_14002f3d0	14002fcf1	140043580	8000000000000131
14002f3d0	FUN_14002f3d0	14002fd09	14004c2b0	Connected to 
14002f3d0	FUN_14002f3d0	14002fd1a	14004c2b0	Connected to 
14002f3d0	FUN_14002f3d0	14002fd1a	14004c2b1	Connected to 
14002f3d0	FUN_14002f3d0	14002fd2b	140043590	8000000000000b65
14002f3d0	FUN_14002f3d0	14002fd48	140043530	8000000000000408
14002f3d0	FUN_14002f3d0	14002fd63	140043530	8000000000000408
140036147	pcap_findalldevs	140036147	140043730	000609ca
140039b2a	strstr	140039b2a	140042698	00062816
140020660	FUN_140020660	1400206f1	140042790	800000000000000b
140020660	FUN_140020660	140020701	140042790	800000000000000b
140020660	FUN_140020660	14002073d	1400423e0	0006141c
140020660	FUN_140020660	140020744	140047920	SendARP Failed. No default gateway\n
14003614d	pcap_open	14003614d	140043748	000609de
14003617d	pcap_freealldevs	14003617d	1400436f8	00060a80
140036183	pcap_setmintocopy	140036183	1400436f0	00060a94
140036177	pcap_compile	140036177	140043700	00060a70
140036171	pcap_setfilter	140036171	140043708	00060a5e
140037dfe	AfxBeginThread	140037dfe	140043468	800000000000085e
140020a80	FUN_140020a80	140020aeb	140042768	8000000000000009
14000db70	FUN_14000db70	14000db9f	1400630d8	0x2b992ddfa232
14000db70	FUN_14000db70	14000dbbb	140044410	Jpeg decoding (CPU): 
14000db70	FUN_14000db70	14000dbc7	140043538	8000000000000136
14000db70	FUN_14000db70	14000dbd5	140042290	000619dc
14000db70	FUN_14000db70	14000dbf0	140044490	0x3f800000
14000db70	FUN_14000db70	14000dc10	1400422f0	00061918
14000db70	FUN_14000db70	14000dc26	140042290	000619dc
14000db70	FUN_14000db70	14000dc73	140042370	000617e8
14000db70	FUN_14000db70	14000dd5d	140042368	00061800
14000db70	FUN_14000db70	14000dd8d	1400434b8	800000000000163b
14000db70	FUN_14000db70	14000dd9b	140043580	8000000000000131
14000db70	FUN_14000db70	14000ddc8	140043590	8000000000000b65
14000db70	FUN_14000db70	14000dddf	1400434c8	80000000000005e0
14000db70	FUN_14000db70	14000ddf1	140043530	8000000000000408
14000db70	FUN_14000db70	14000ddfd	140043530	8000000000000408
14000db70	FUN_14000db70	14000dee3	140042298	000619d0
14000db70	FUN_14000db70	14000deef	140043530	8000000000000408
1400190f0	FUN_1400190f0	140019110	1400630d8	0x2b992ddfa232
1400190f0	FUN_1400190f0	140019464	1400434b8	800000000000163b
1400190f0	FUN_1400190f0	140019472	140043580	8000000000000131
1400190f0	FUN_1400190f0	14001948a	140046668	DSFormatBlit-Bayer: 
1400190f0	FUN_1400190f0	1400194a3	140046668	DSFormatBlit-Bayer: 
1400190f0	FUN_1400190f0	1400194a3	140046669	DSFormatBlit-Bayer: 
1400190f0	FUN_1400190f0	1400194b5	140043590	8000000000000b65
1400190f0	FUN_1400190f0	1400194c5	1400434c8	80000000000005e0
1400190f0	FUN_1400190f0	1400194d1	140043530	8000000000000408
1400190f0	FUN_1400190f0	1400194dd	140043530	8000000000000408
1400107c0	FUN_1400107c0	1400107f1	1400630d8	0x2b992ddfa232
1400107c0	FUN_1400107c0	140010812	140043588	800000000000013c
1400107c0	FUN_1400107c0	140010870	140044ca0	Video Recording: 
1400107c0	FUN_1400107c0	14001087c	140043538	8000000000000136
1400107c0	FUN_1400107c0	14001088a	140042290	000619dc
1400107c0	FUN_1400107c0	1400108ac	1400422f0	00061918
1400107c0	FUN_1400107c0	1400108c6	140042290	000619dc
1400107c0	FUN_1400107c0	1400109a3	140044cb8	_Local_%07d.bmp
1400107c0	FUN_1400107c0	1400109af	140043470	8000000000001228
1400107c0	FUN_1400107c0	1400109bd	1400434b8	800000000000163b
1400107c0	FUN_1400107c0	1400109cb	140043580	8000000000000131
1400107c0	FUN_1400107c0	1400109fa	140043590	8000000000000b65
1400107c0	FUN_1400107c0	140010a44	140043530	8000000000000408
1400107c0	FUN_1400107c0	140010bb0	140044cc8	_Local_%07d.jpg
1400107c0	FUN_1400107c0	140010bbc	140043470	8000000000001228
1400107c0	FUN_1400107c0	140010bca	1400434b8	800000000000163b
1400107c0	FUN_1400107c0	140010bd7	140043580	8000000000000131
1400107c0	FUN_1400107c0	140010c05	140043590	8000000000000b65
1400107c0	FUN_1400107c0	140010c4e	140043530	8000000000000408
1400107c0	FUN_1400107c0	140010c6b	140044c98	0x0
1400107c0	FUN_1400107c0	140010c72	140044c98	0x0
1400107c0	FUN_1400107c0	140010c80	140042480	00060fa0
1400107c0	FUN_1400107c0	140010ca4	140042478	00060fd6
1400107c0	FUN_1400107c0	140010cb2	140044c9c	0xa8
1400107c0	FUN_1400107c0	140010ccc	140044c9c	0xa8
1400107c0	FUN_1400107c0	140010cef	1400424d0	00060d02
1400107c0	FUN_1400107c0	140010d19	1400424b0	00060e0a
1400107c0	FUN_1400107c0	140010d26	140063e98	0x0
1400107c0	FUN_1400107c0	140010d6d	1400424b0	00060e0a
1400107c0	FUN_1400107c0	140010d8e	1400429b0	00062990
1400107c0	FUN_1400107c0	140010db6	1400424a8	00060e4a
1400107c0	FUN_1400107c0	140010dc3	140063e98	0x0
1400107c0	FUN_1400107c0	140010de6	1400424c0	00060d7a
1400107c0	FUN_1400107c0	140010dfb	1400424f8	00060b94
1400107c0	FUN_1400107c0	140010e1c	1400424b0	00060e0a
1400107c0	FUN_1400107c0	140010e51	140044c9c	0xa8
1400107c0	FUN_1400107c0	140010e66	140042488	00060f60
